benchmark,method,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
patch,patch_progan_aug,1.8018459668764508,0.6100555260993054,0.09187153161086907,0.022533600804935373,0.008435214902556316,0.014889211665934623
patch,patch_focal,2.12212316250589,0.7247984666586221,0.012580794143388599,0.01819685422352122,0.007058178261573419,0.002577403154232845
patch,patch_ce,2.10079887263395,0.7186582878196678,0.033850893761592955,0.0564125124594874,0.020890459088155316,0.0035342666030019096
patch,patch_balanced_sampler_ce,2.401386316684517,0.7846712420089123,0.09435240624704737,0.01706482255146665,0.01058943422212238,0.014403817365873275
patch,patch_ce_soft_f1_balanced,2.4341078401072287,0.7910401592374025,0.09391121907467759,0.08715723987171765,0.024141153551359856,0.011032547795523479
patch,patch_ce_soft_mcc_balanced,2.5016651189738615,0.8051195639667492,0.12856934918076482,0.08311360703973865,0.027089028117448465,0.0013658304785786853
patch,patch_weighted_ce,2.373180803233786,0.7904258375731091,0.07179048301495668,0.03344903977912103,0.014328046075699756,0.015064732379251431
wsi_bag,rankmix_mil,0.4066794818197595,0.15595785633603473,0.021907384628044094,0.041484216841083166,0.014783400235470147,0.0029920461460955367
wsi_bag,mil_ce,1.0344531233879726,0.195080092132332,0.08919666221986283,0.05070762169512567,0.009169379822973315,0.0034023131345300977
wsi_bag,mil_balanced_sampler_ce,1.1003044395907728,0.20148627914880382,0.09137118767193275,0.04967719861915194,0.00929057721960446,0.002770174721463897
wsi_bag,sc_mil,0.9584425145134919,0.20500590006675168,0.09207799865187466,0.10363069211843468,0.012772783212218489,0.005279353047888014
wsi_bag,mil_weighted_ce,1.1240173072271744,0.21026388830388623,0.09560350099481962,0.028365433193947732,0.01084519910291929,0.005081521743716035
wsi_bag,mil_focal,0.7630716070043643,0.20040414540979348,0.07847079740345995,0.06440927700114638,0.0071871665923707185,0.005767903067629453
