method,split,role,taxonomy_category,representative_paper,accuracy_mean,balanced_accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,accuracy_std,balanced_accuracy_std,macro_precision_std,macro_recall_std,macro_f1_std,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
rankmix_mil,test,representative,data-level augmentation,Chen and Lu; RankMix,0.8940902837416281,0.8625622810336409,0.843168159361808,0.8625622810336409,0.848176917613646,0.4066794818197595,0.15595785633603473,0.021907384628044094,0.009850550006764389,0.008443191931294258,0.02300689475039878,0.008443191931294258,0.016629887027581152,0.041484216841083166,0.014783400235470147,0.0029920461460955367
mil_ce,test,baseline,baseline,Attention MIL with cross-entropy,0.8903846979422759,0.835767004778881,0.8541247517774301,0.835767004778881,0.839680733170148,1.0344531233879726,0.195080092132332,0.08919666221986283,0.0055286475520411,0.019801008744655502,0.020339682716054873,0.019801008744655502,0.020244805720929047,0.05070762169512567,0.009169379822973315,0.0034023131345300977
mil_balanced_sampler_ce,test,baseline,data-level sampling,Balanced-sampling attention MIL,0.8851044090644026,0.8373745912963398,0.8444498924753266,0.8373745912963398,0.8356178739838942,1.1003044395907728,0.20148627914880382,0.09137118767193275,0.0072901635860682075,0.015285344556343004,0.015909958440962144,0.015285344556343004,0.013030025944909878,0.04967719861915194,0.00929057721960446,0.002770174721463897
sc_mil,test,representative,representation and architecture,Juyal et al.; SC-MIL,0.8807601883758807,0.837347326371113,0.8371056028476981,0.837347326371113,0.8331511555092966,0.9584425145134919,0.20500590006675168,0.09207799865187466,0.006572936293747429,0.016689863732073307,0.016429035535757607,0.016689863732073307,0.01631595324975475,0.10363069211843468,0.012772783212218489,0.005279353047888014
mil_weighted_ce,test,baseline,algorithm-level losses,Class-weighted attention MIL,0.8799511106632559,0.8341149869415961,0.8370165610567492,0.8341149869415961,0.8291254937556926,1.1240173072271744,0.21026388830388623,0.09560350099481962,0.005488200384249481,0.017757251451540768,0.0219342452075667,0.017757251451540768,0.017954401067188052,0.028365433193947732,0.01084519910291929,0.005081521743716035
mil_focal,test,baseline,algorithm-level losses,Focal attention MIL,0.8786726277068971,0.8239066049383702,0.8421035669210095,0.8239066049383702,0.8272977404525119,0.7630716070043643,0.20040414540979348,0.07847079740345995,0.003930144922034862,0.010609709452456867,0.006827760432793119,0.010609709452456867,0.008949734602706276,0.06440927700114638,0.0071871665923707185,0.005767903067629453
rankmix_mil,val,representative,data-level augmentation,Chen and Lu; RankMix,0.8951303866374142,0.868503410061535,0.855534143610072,0.868503410061535,0.8574364336678225,0.41753578190798063,0.15718016693189035,0.020734770194505057,0.015242944649711694,0.00615257466200665,0.02342209905707705,0.00615257466200665,0.014801302847465477,0.049264561646620256,0.02134611100062032,0.0061819403522149815
sc_mil,val,representative,representation and architecture,Juyal et al.; SC-MIL,0.886229669854961,0.8496724296012107,0.852354620931837,0.8496724296012107,0.8479763290563215,0.9483515018216928,0.1962448925929112,0.085701509886144,0.005321987952048823,0.003090493854985739,0.005281297117785024,0.003090493854985739,0.003175475839902608,0.05010263491247117,0.009303715328525442,0.00617902830506483
mil_balanced_sampler_ce,val,baseline,data-level sampling,Balanced-sampling attention MIL,0.8809048343588118,0.8396046042387587,0.849370994409302,0.8396046042387587,0.8398219885466259,1.11534583182829,0.20993093389927409,0.09642984865610453,0.011939931883736576,0.015167410872000051,0.00819557167423805,0.015167410872000051,0.013030520102838502,0.1931996197163818,0.026836775654226933,0.013763452626240845
mil_weighted_ce,val,baseline,algorithm-level losses,Class-weighted attention MIL,0.881841957862093,0.8421402830898271,0.8449007889060702,0.8421402830898271,0.8384785456251409,1.1299941614662827,0.2095397783416516,0.09611231499802757,0.007173937918838389,0.0025182996091952983,0.01615507028612703,0.0025182996091952983,0.0063454690553931496,0.16545340169770553,0.015345424767299711,0.008601320066310937
mil_ce,val,baseline,baseline,Attention MIL with cross-entropy,0.8811600773652232,0.8266291649258388,0.8476584358018834,0.8266291649258388,0.8311969083947514,1.1735659259483697,0.2116933904607187,0.09787658795043579,0.016780204586295495,0.032334595709343994,0.013323236548885424,0.032334595709343994,0.027239913116092012,0.20712489206809623,0.031403689268358966,0.015513803159623871
mil_focal,val,baseline,algorithm-level losses,Focal attention MIL,0.8768174338399463,0.8250889103848523,0.8404528493956825,0.8250889103848523,0.8282326226135379,0.7806678762227129,0.20431940762116096,0.08285660271062593,0.007250482370361381,0.009075105571259356,0.0031515867509948146,0.009075105571259356,0.0042488965176799,0.04518097719784499,0.012385007470804302,0.00792359524920069
