benchmark,method,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
patch,patch_feature_cfal,2.86077737938813,0.9154053294210405,0.7979983810187617,0.01775742897272901,0.0020780214094557404,0.0023864024341825212
patch,patch_feature_ce_soft_f1_balanced,2.5172240538963524,0.2976529356881998,0.14462875752130003,0.15427943030075109,0.01148116787265265,0.005536268781348055
patch,patch_feature_ce_soft_mcc_balanced,1.951889793725198,0.29632051193297754,0.13998190064720062,0.09194069538239595,0.011806825332912697,0.005564488981644466
patch,patch_feature_balanced_sampler_ce,1.8331919211866545,0.2993281838096384,0.14033728964232156,0.07382996805910444,0.011779353147224532,0.00563121719580007
patch,patch_feature_weighted_ce,1.8021505128289685,0.2994920956904599,0.13993181588731862,0.07628516699763709,0.007041529384136574,0.003219099178465448
patch,patch_feature_ce,1.808407882544633,0.2993834970440648,0.1405450171565309,0.08746234530257242,0.004674654159927826,0.0027223973173488643
patch,patch_feature_progan_aug,2.1580454849932598,0.3090654506895656,0.1473548192319363,0.09581794218011792,0.0016990525770027483,0.001017613718136741
patch,patch_feature_focal,1.4056099859426527,0.2901453591936914,0.13007606217917075,0.09531728737381497,0.012923114902869659,0.006115190475144805
patch,patch_feature_divide_conquer,0.8839720887175927,0.28678956013367957,0.07933865083585596,0.03464577113011132,0.006938541600404399,0.0030004288612794448
wsi_bag,mde_mil,0.41290057617619064,0.14791792377207588,0.03101786489626208,0.03991502127838239,0.011567235182119003,0.0032097906486854262
wsi_bag,rankmix_mil,0.43658069149041817,0.15111475390649567,0.03421976504825427,0.01017297185834726,0.002571131076929173,0.004599390640884225
wsi_bag,mil_ce,1.0344531233879726,0.195080092132332,0.08919666221986283,0.05070762169512567,0.009169379822973315,0.0034023131345300977
wsi_bag,mil_balanced_sampler_ce,1.1516597854410422,0.20610412641384512,0.09563915565976715,0.06319527387313084,0.006209112374152826,0.0024298577877376343
wsi_bag,sc_mil,0.9911730432523075,0.20374070065163016,0.09050555616087162,0.14075942623810303,0.01260090474253642,0.0070152326485770885
wsi_bag,mil_weighted_ce,1.093683400133991,0.20183310013602718,0.09258701985760176,0.04170514086634017,0.012492392506852837,0.0063776502612692245
wsi_bag,mil_focal,0.8934729420895208,0.204536192890043,0.08900151977137755,0.09778804047252604,0.007439787639990568,0.0043471142481177815
