method,split,role,taxonomy_category,representative_paper,accuracy_mean,balanced_accuracy_mean,macro_precision_mean,macro_recall_mean,macro_f1_mean,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,accuracy_std,balanced_accuracy_std,macro_precision_std,macro_recall_std,macro_f1_std,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
mde_mil,test,representative,hybrid approaches,"Ling et al.; MDE-MIL (ensemble, no distillation)",0.8962697821603832,0.8483137639719227,0.8967681935006935,0.8483137639719227,0.8640999306739919,0.4774460590530987,0.16512064848549832,0.03565434053555629,0.004668032441829854,0.00874517834708486,0.008670951799067619,0.00874517834708486,0.004451092519215104,0.012564986918514286,0.0076465426166991415,0.00492405702311269
rankmix_mil,test,representative,data-level augmentation,Chen and Lu; RankMix,0.8904559305581148,0.8682375931293503,0.8485432754907639,0.8682375931293503,0.852872615307259,0.581021380247234,0.16854873103463033,0.04703468183153944,0.008856155138009397,0.005099590080822036,0.013744035741978723,0.005099590080822036,0.007691196662197057,0.022283924395346297,0.012852240201700208,0.00442332057057497
sc_mil,test,representative,representation and architecture,Juyal et al.; SC-MIL,0.882277678080178,0.8400013560230614,0.8550620982750612,0.8400013560230614,0.8431256041415778,0.9919802121233113,0.20331938959154436,0.09103670236594023,0.0068308568679367205,0.00869738490544596,0.0002153508278726238,0.00869738490544596,0.0033956654527895007,0.09138470033208819,0.0107273749861802,0.005688850780659792
mil_weighted_ce,test,baseline,algorithm-level losses,Class-weighted attention MIL,0.8816807864431594,0.8334814979525241,0.8480512622694559,0.8334814979525241,0.8349830830737061,1.2244836910853358,0.21240359481215856,0.09880976808403723,0.005501090660957685,0.018514801859650726,0.0016667668289284177,0.018514801859650726,0.010987542559034707,0.14363685173075455,0.011790274482358731,0.005553250975198084
mil_focal,test,baseline,algorithm-level losses,Focal attention MIL,0.8799742482553853,0.8289092774855856,0.8529526860952555,0.8289092774855856,0.8340197545630343,0.9731809570301709,0.20633152039565547,0.09026637058127067,0.012498266234552963,0.019663697366178314,0.020165735010038717,0.019663697366178314,0.01993130036166625,0.0994221991167246,0.020182703495326443,0.009020614683258979
mil_balanced_sampler_ce,test,baseline,data-level sampling,Balanced-sampling attention MIL,0.8745339371668871,0.8287011859791574,0.8450647563127136,0.8287011859791574,0.8306063907046956,1.2635626628967191,0.22288682474142327,0.10217231901923725,0.003463629960208228,0.009873920920234827,0.006496351701816469,0.009873920920234827,0.00869595767222343,0.1646243827273531,0.00990541671261933,0.0050871126725212336
mil_ce,test,baseline,baseline,Attention MIL with cross-entropy,0.8750978976532507,0.821015884462506,0.838687878207654,0.821015884462506,0.8252753381067834,1.2311179489176407,0.22276826764674681,0.10274539804605509,0.006770867221752369,0.0041422264381749795,0.012061738674027914,0.0041422264381749795,0.004601203282103209,0.07423757630135468,0.01078195859367266,0.00492682515485697
mde_mil,val,representative,hybrid approaches,"Ling et al.; MDE-MIL (ensemble, no distillation)",0.8882065193306626,0.8405933624107275,0.874321083382676,0.8405933624107275,0.8497303453071475,0.510949039276545,0.17567556710378052,0.03407998194594776,0.010693876157160538,0.01088988856816068,0.006420097814992133,0.01088988856816068,0.011316445240108419,0.04242152739629997,0.013873329356285588,0.011631345877082495
rankmix_mil,val,representative,data-level augmentation,Chen and Lu; RankMix,0.8849466816533749,0.8625037441301201,0.8374766409722829,0.8625037441301201,0.8447716214017608,0.5419176687033666,0.1773442683604334,0.04765170643354503,0.01109809621135404,0.006100716379250765,0.017369338993953924,0.006100716379250765,0.012383393062425361,0.0624414497502132,0.015873328938942017,0.006302058268486349
sc_mil,val,representative,representation and architecture,Juyal et al.; SC-MIL,0.8824879195206838,0.8428727553744353,0.841209911256101,0.8428727553744353,0.8383294210339783,1.0233461037857545,0.2044512141370297,0.0895161640897657,0.012637735599203925,0.011705983342786358,0.010719521588843648,0.011705983342786358,0.013217737362475404,0.12635418008158644,0.024301674773924392,0.012923797247717663
mil_weighted_ce,val,baseline,algorithm-level losses,Class-weighted attention MIL,0.8788448760845934,0.8306929681443801,0.8403232750093798,0.8306929681443801,0.8279855492635688,1.1875394553004621,0.21466014213758236,0.09816328496938509,0.003574628255169285,0.014408934247412493,0.014877108698014105,0.014408934247412493,0.01770420964655457,0.0724018087311654,0.007760821037596972,0.004231999934120188
mil_balanced_sampler_ce,val,baseline,data-level sampling,Balanced-sampling attention MIL,0.8685159260747092,0.8213491276449121,0.8305707286637837,0.8213491276449121,0.8210558239973363,1.2827994786878423,0.23440316016867277,0.1078119240878977,0.010695237927514362,0.00804270338336908,0.008302557679075668,0.00804270338336908,0.009615373915647383,0.19608397472325503,0.016918783325148214,0.009436238251603411
mil_ce,val,baseline,baseline,Attention MIL with cross-entropy,0.8672549698954386,0.8176592981303248,0.8239997805753148,0.8176592981303248,0.8153457486044099,1.279451286140075,0.23698816667623826,0.10939717928537619,0.008848846136525186,0.021519093148266184,0.026776525169438285,0.021519093148266184,0.025132796094880717,0.07459031977430138,0.014952010856137192,0.008099341035178464
mil_focal,val,baseline,algorithm-level losses,Focal attention MIL,0.8687652216446647,0.8175141000143844,0.8298853980340443,0.8175141000143844,0.814487261454735,1.0003050859542262,0.22600594695136722,0.09853887519501968,0.00360542917655584,0.012796142408894522,0.02129631328809603,0.012796142408894522,0.012348699881645454,0.05379501775970883,0.0073245404821689255,0.004630891576703806
