method,seed,calibrator,split,negative_log_likelihood,brier_score,expected_calibration_error
patch_feature_ce,0,raw,val,2.2085357122462437,0.34339071130791166,0.16218401030607071
patch_feature_ce,0,raw,test,2.0873115322736058,0.3311668821571541,0.15638254257821077
patch_feature_ce,0,temperature,val,0.7127610509240637,0.2724724066604178,0.05291008116909679
patch_feature_ce,0,temperature,test,0.6787742904235282,0.26475473694989365,0.046264988350807716
patch_feature_cfal,0,raw,val,2.8439248918401865,0.9132597952938677,0.777725854670924
patch_feature_cfal,0,raw,test,2.8404194657806716,0.9129263959097185,0.7817356288429267
patch_feature_cfal,0,temperature,val,0.5569536909138668,0.22931650991986927,0.016666819900436287
patch_feature_cfal,0,temperature,test,0.5524999454194106,0.22558018290737178,0.020220960795940653
