method,role,taxonomy_category,representative_paper,seed,split,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,negative_log_likelihood,brier_score,expected_calibration_error
mil_ce,baseline,baseline,Attention MIL with cross-entropy,0,val,0.8625782227784731,0.82158148649937,0.8119397373971355,0.82158148649937,0.8110395871395846,1.3167075254059737,0.24557191571055778,0.11434515787379464
mil_ce,baseline,baseline,Attention MIL with cross-entropy,0,test,0.8688524590163934,0.8247621120885917,0.8252014786773902,0.8247621120885917,0.8223821678221808,1.2634331265244272,0.233430656738099,0.10757872920300135
mil_ce,baseline,baseline,Attention MIL with cross-entropy,1,val,0.8774608783442706,0.8369475262578677,0.8546854063763255,0.8369475262578677,0.8423534097924648,1.1935721792961256,0.21972316346824572,0.10005023894226955
mil_ce,baseline,baseline,Attention MIL with cross-entropy,1,test,0.8741474713679063,0.821718110198975,0.8484432716290964,0.821718110198975,0.830581100094146,1.1461997994178654,0.2230035554071714,0.10292734528060374
mil_ce,baseline,baseline,Attention MIL with cross-entropy,2,val,0.8617258085635721,0.7944488816337364,0.8053741979524833,0.7944488816337364,0.7926442488811803,1.3280741537181262,0.24566942084991125,0.11379614104006441
mil_ce,baseline,baseline,Attention MIL with cross-entropy,2,test,0.8822937625754527,0.8165674310999513,0.8424188843164753,0.8165674310999513,0.8228627464040237,1.2837209208106295,0.21187059079497003,0.09773011965456022
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,0,val,0.8819774718397998,0.8473260388744938,0.8559548697286986,0.8473260388744938,0.8483601846397867,1.1476221779219642,0.20952188154815723,0.09407870494043713
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,0,test,0.8796106557377049,0.8375039493692817,0.8488695682956814,0.8375039493692817,0.8384285607264639,1.2073938433001126,0.2161101320113209,0.10035150784037275
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,1,val,0.8796062594649167,0.822727295589457,0.8386774288740615,0.822727295589457,0.8192455443176766,1.1438822144268195,0.21087088806486498,0.09788243531248053
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,1,test,0.8879166130485137,0.8496544082244992,0.8491507155991638,0.8496544082244992,0.8438349650109696,1.09015630134745,0.19920542608684783,0.09264854800515528
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,2,val,0.8749508969490638,0.8220255699691896,0.8263375264253793,0.8220255699691896,0.8163509188332431,1.2711139735526022,0.22358765679972492,0.10252871465523763
mil_weighted_ce,baseline,algorithm-level losses,Class-weighted attention MIL,2,test,0.8775150905432596,0.8132861362637918,0.8461335029135226,0.8132861362637918,0.8226857234836846,1.3759009286084447,0.22189522633830697,0.10342924840658362
mil_focal,baseline,algorithm-level losses,Focal attention MIL,0,val,0.865081351689612,0.8321948719880826,0.8360362455815105,0.8321948719880826,0.8280807310155293,1.0167203864629395,0.23312461872476717,0.10287542433777502
mil_focal,baseline,algorithm-level losses,Focal attention MIL,0,test,0.8785860655737705,0.841804153130608,0.8599462668947557,0.841804153130608,0.845705223853138,1.0744681037966552,0.21124425500168262,0.09252694773785472
mil_focal,baseline,algorithm-level losses,Focal attention MIL,1,val,0.8722867238768299,0.8087254525729228,0.8474293405333228,0.8087254525729228,0.8114192768324702,0.9402148050064105,0.21849157915431805,0.09366118870506314
mil_focal,baseline,algorithm-level losses,Focal attention MIL,1,test,0.8682280272809162,0.8062768889160625,0.8302211812657109,0.8062768889160625,0.8110059952045447,0.9693397244231564,0.22360432690702955,0.0979416956927322
mil_focal,baseline,algorithm-level losses,Focal attention MIL,2,val,0.8689275893675527,0.8116219754821479,0.8061906079872996,0.8116219754821479,0.8039617765162058,1.0439800663933287,0.22640164297501644,0.09908001254222085
mil_focal,baseline,algorithm-level losses,Focal attention MIL,2,test,0.8931086519114688,0.8386467904100867,0.8686906101253,0.8386467904100867,0.8453480446314203,0.8757350428707011,0.18414597927825424,0.08033046831322509
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,0,val,0.860325406758448,0.8141457572042976,0.8247289041851132,0.8141457572042976,0.8138897045650754,1.41642626136316,0.246089293453685,0.1148072904878027
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,0,test,0.8753842213114754,0.8368299374686426,0.8505784232072572,0.8368299374686426,0.8364409148687453,1.3485462011744729,0.22282192226847916,0.10272063015670074
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,1,val,0.8806158505805148,0.8300270977699816,0.84007474648367,0.8300270977699816,0.8319833009639803,1.0576925708779266,0.21500203519036465,0.09707951704806483
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,1,test,0.8774932441127268,0.8315604554994249,0.8467127149678801,0.8315604554994249,0.8347664463116995,1.0738141925361078,0.21301401873729864,0.09683326152496674
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,2,val,0.8646065208851643,0.8198745279604572,0.8269085353225676,0.8198745279604572,0.8172944664629531,1.3742796038224405,0.24211815186196864,0.11154896472782563
mil_balanced_sampler_ce,baseline,data-level sampling,Balanced-sampling attention MIL,2,test,0.8707243460764588,0.8177131649694048,0.8379031307630034,0.8177131649694048,0.8206118109336418,1.368327594979577,0.23282453321849197,0.10696306537604426
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,0,val,0.8729662077596996,0.8586350405844947,0.8219866388270597,0.8586350405844947,0.8360204535450375,0.5790854287138626,0.1915860664198552,0.050967661904005625
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,0,test,0.8860143442622951,0.862834493621355,0.836945420696781,0.862834493621355,0.8450248546109452,0.5552972536264067,0.17573461021618134,0.0486813150956982
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,1,val,0.8948763250883393,0.8695364868252835,0.8562551733129258,0.8695364868252835,0.8589406326972965,0.4698281548007425,0.16023132436335766,0.04038398111862462
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,1,test,0.8846995238708018,0.8729666304350838,0.8449605270454523,0.8729666304350838,0.8531959408180838,0.5944081040709669,0.17620089853508847,0.05039851387607713
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,2,val,0.8869975121120859,0.8593397049805822,0.8341881107768635,0.8593397049805822,0.8393537779629483,0.5768394225954945,0.1802154142980874,0.05160347627800483
rankmix_mil,representative,data-level augmentation,Chen and Lu; RankMix,2,test,0.9006539235412475,0.8689116553316125,0.8637238787300585,0.8689116553316125,0.860397050492748,0.5933587830443288,0.1537106843526212,0.042024216522842994
sc_mil,representative,representation and architecture,Juyal et al.; SC-MIL,0,val,0.8689612015018774,0.8321514641370742,0.8326829357030157,0.8321514641370742,0.8263391342094415,1.1329522000618153,0.2287859721928533,0.10155841367452109
