benchmark,method,negative_log_likelihood_mean,brier_score_mean,expected_calibration_error_mean,negative_log_likelihood_std,brier_score_std,expected_calibration_error_std
patch,patch_feature_cfal,0.5289664249887246,0.21871950507512206,0.019330831846073128,0.028592857994553352,0.010500545563905506,0.003359939672762238
patch,patch_feature_ce_soft_f1_balanced,0.758167941492642,0.2582656209419439,0.0578855011577618,0.024701983799865126,0.008702025082046908,0.027485381175423096
patch,patch_feature_ce_soft_mcc_balanced,0.6968758316290722,0.2595736650218543,0.06066854262509106,0.0223225476569113,0.009216491661032616,0.0073511461448757375
patch,patch_feature_balanced_sampler_ce,0.6525554711042315,0.25175144708478614,0.03825447685181144,0.034494703680964876,0.012858328079446993,0.0076453649379937426
patch,patch_feature_focal,0.6163878716700015,0.24787477855951365,0.009987867026852051,0.026778379341881365,0.012393447264016292,0.00402290674052216
patch,patch_feature_weighted_ce,0.658986940909304,0.25580792357390214,0.03733141009121649,0.025054561334277147,0.012346349608408228,0.0026254957126394833
patch,patch_feature_ce,0.6534289626941906,0.25198300941557955,0.043793649314398275,0.027844118835600527,0.013480284824816766,0.0026638908716932292
patch,patch_feature_progan_aug,0.742299460865798,0.26769860524045397,0.07168147587382799,0.02220621108581255,0.008943859314512774,0.0057155986139349425
patch,patch_feature_divide_conquer,0.7103665442917042,0.2833318869769545,0.027294392479170353,0.019661770624791287,0.011581630701275682,0.0071161032455417
wsi_bag,mde_mil,0.4611625070369163,0.1622236787225567,0.022179013523639397,0.014416405379554997,0.008091424797034456,0.0004834826651579875
wsi_bag,rankmix_mil,0.4279960869316099,0.1646034180726598,0.028008443568710517,0.01237258114927914,0.01010469462971083,0.008795131788967207
wsi_bag,sc_mil,0.4314687021674235,0.17198163868326924,0.011293745708589868,0.015764474760304566,0.006070092584373715,0.00562536367536597
wsi_bag,mil_weighted_ce,0.45470929005830274,0.17744749875472773,0.013322672873380728,0.033113731461637715,0.010557927681261875,0.003751828444110422
wsi_bag,mil_focal,0.45106355832629896,0.17958629210414867,0.012473401987083204,0.03740850309390273,0.016106365407267266,0.0033339384540543486
wsi_bag,mil_balanced_sampler_ce,0.4785501206759166,0.18460352058701154,0.01257645477859134,0.030973688140541238,0.009533532025555416,0.003046113380498879
wsi_bag,mil_ce,0.4687317364798009,0.1845011434138316,0.013593176391061383,0.013099370936757594,0.008077943938105892,0.0007433494145213384
